age,location,ethnicity,occupation,status,description,scam,age_group,country
29,"Detroit, Michigan, United States",white,analyst,single,I'm looking for marriage minded man and family oriented,1,21-30,United States
45,"Crescent, OK 73028, USA",white,engineering,single,"Simple, honest and calm man looking for a woman to start a new life with.",0,41-50,United States
66,"Kings Mountain, NC, USA",white,other,divorced,hi I'm diane I'm a band mgr I'm divorced 2grown sons,0,61-70,United States
61,"Los Angeles, California, United States",native american,construction,divorced,"am paul am here to seek for my true love. I am a fun, hardworking, well educated man looking for my better half. I am a recovering workaholic but am learning how to slow down and delegate. I am family oriented and enjoy backyard bbq?€?s with friends and family. I take exceptional care of my body and am very athletic without overly obsessing over it. Pretty much an adrenaline junkie, I enjoy going to the gym, running, swimming, zip-lining, scuba diving, surfing, tennis, fishing, hunting, riding my horses and golf. Through hard work, life and success have been good to me and it?€?s now time to share my world and good fortune with a smart, engaging, sweet, sexy woman. I?€?m looking for a long term relationship no FWBs or one nighters as that is not for me. A strong emotional connection is my aphrodisiac. I?€?m an excellent cook and you are welcome to find out for yourself
am looking for well-educated, well-mannered, intelligent, responsible, honest, reliable, cheerful, respectful and optimistic person. My goal is to find my life-partner, to create a happy family?€?",1,61-70,United States
45,"Barcelona, Anzo??tegui, Venezuela",hispanic,technology,divorced,"I consider myself a simple, happy person, I like music, reading, traveling, making new friends, getting to know new cultures.",0,41-50,Venezuela
52,"Atlanta, Georgia, United States",white,medical,widowed,"I?€?m a very gentleman and will always be. I look for simple pleasures and not so simple pleasures in life. really very simple, love the nature, and mostly want to get on with life.. my daughter make me do this. LOL searching for my half, someone i can share all my feelings and thoughts with, someone i can Cherish and Adore forever. I?€?m a good listener and promise never to be a dictator.",1,51-60,United States
38,"Santa Cruz de la Sierra, Bolivia",hispanic,carer,single,"I am a very cheerful, dynamic, enterprising woman. I like nature, I love to travel, to know, to enjoy the simplest things. I like the tranquilidada in every way. I love my bed and I would like to form a nice familiar. Quiero alguien que se arriesgue a enfrentar la vida conmigo. Luchemos juntos",0,31-40,Bolivia
30,"Toronto, ON, Canada",hispanic,finance,single,"Dance, sport, work and fun",0,31-40,Canada
57,"Havana, Cuba",black,other,single,"Honest person with a happy and educated character. I like music, dancing, eating out and making good friends.",0,51-60,Cuba
33,"Ohio, United States",white,other,single,"hello handsome man , i am Eben single with no kids 33 years old from Ghana never been married and i am here looking for serious relationship leading to marriage and i was hurt before i hope this time i will not hurt again that is why i am careful looking for the right man in my life who can be there for me and only me . i am not here for games as well i want a true love which can lust for so long ?€?. and i think i will look forward to hear from you soon",1,31-40,United States
67,"Angol, Araucan??a, Chile",hispanic,teacher,divorced,I am a simple person. I love traveling to different places in the world and I love making friends on social networks. I like to know the different types of gastronomy and the various idiosyncrasies of the towns.,0,61-70,Chile
40,"Los Cabos, Baja California Sur, Mexico",hispanic,hospitality,separated,"Hello, I am a single guy and I want to find my better half, where I find that there are very beautiful women. I am somewhat shy. I am sure that I will be able to find her sooner or later.",0,41-50,Mexico
47,"Miami, Florida, United States",white,military,divorced,"i?€?m a very free man and like making people happy happy,like swimming,singing,cooking",1,41-50,United States
38,"V??ster??s, Sweden",hispanic,clerical,single,"I like rock, walks, riding a bike, going out dancing, nature, cultural activities, reading and spending quality time at home watching a good movie.",0,31-40,Sweden
41,"Madrid, Spain",black,manager,single,Straight forward and focused.,0,41-50,Spain
31,"Masaya, Nicaragua",hispanic,technology,single,"I just want to get to know Hungarians, I love that country",0,31-40,Nicaragua
39,"Los Angeles, California, United States",white,self-employed,divorced,I?€?m here looking for serious relationship and long term and the woman that know what she?€?s doing and what makes her to be a woman?€?..Never give up and keep praying all days and night?€?,1,31-40,United States
37,"connecticut, United States",white,engineering,widowed,"my name is allen henry am a wildower with one sons mike 3 year old and He school in usa at connecticut i lose my late wife 3 year ago after giving birth to my son, am an engineering..I install max?€?my hobbies are swimming then i love composing poem so much some time i go to the cinema ok baby that is about me for now so i will like to know you too its will be good for us to make things possible and work out ok i will be looking for your email have a nice day stay bless. allen
I need a woman that will be with me and get married to each to make the future be possible for each other?€??€??€??€??€?..",1,31-40,United States
30,"New York, NY, USA",hispanic,manager,single,"I am passionate about the Art of cooking.
Value a woman with true feelings.
I'm fun & I like to shop with family for good times.",0,31-40,United States
49,"Middletown, Ohio, United States",Native American,other,single,Hello how are u doing over there today ands hope u are doing cool? am really looking for someone in can share the rest of my life with someone to trust understand and love?€?. Am roy terry am a cops but love to get married now and be with my wife forever okay 4122280476,1,41-50,United States
60,"Salt Lake City, UT, USA",hispanic,other,divorced,"I am a formal, fun, good-natured, hard-working, loving, honest, loyal, sincere person, related to God.",0,61-70,United States
51,"Tijuana, B.C., M??xico",hispanic,other,divorced,"I am fun, hard-working and responsible.",0,51-60,Mexico
45,"High Point, North Carolina, United states",white,military,widowed,"I am a very easy person to please. I enjoy pretty much everything.
I enjoy being outdoors, I like the beach, bike riding and working around the garden",1,41-50,United states
49,"Villavicencio, Meta, Colombia",hispanic,other,single,"I am an extroverted person, very responsible for myself and my obligations.
With fear of God or a supreme being,",0,41-50,Colombia
55,"Caracas, Distrito Capital, Venezuela",hispanic,medical,divorced,"Intelligent, good sense of humor, 1.80 cm, 84 kg, gray-haired",0,51-60,Venezuela
74,"Vallejo, CA, USA",black,finance,divorced,"I'm considering moving to Mexico in three years, I plan to visit in August of this year",0,71-80,United States
45,"Atlanta, Georgia, EE. UU.",white,self-employed,divorced,"I am an honest, sincere, respectful person looking for a stable relationship.",0,41-50,United States
31,"Bella Vista, Corrientes, Argentina",hispanic,other,single,"I LOVE the men of German and British nationality, so let's talk.",0,31-40,Argentina
54,"Dallas, Texas, United States",native american,military,widowed,I am a very good and nice looking man who love to see all the people around me in good condition and also love the word of God,1,51-60,United States
49,"Krakow, Poland, or Miami, Florida, United States",white,medical,widowed,"?€?Take a chance. I am passionate in so many aspects of my life, looking for my equal. Ultimate goal for everyone is to take a chance and connect with someone, whether it is for a short time or hopefully, on a long term basis.
Developing a friendship first and by getting to know someone through dating and most importantly communication, with any luck can develop into something meaningful. Starting off developing a strong friendship could lead up to the old saying (?€? Love is Friendship set on Fire?€?).
Seeking someone who wants to ?€?complement?€? my life as I wish to do the same for them. Strong in their Christian faith as I, but do enjoy having fun. Would like to continue life?€?s journey with my soul-mate experiencing the exciting journey that fate has in store for us, enjoying learning about each other and exploring old and new places together. Enjoy have fun as well as quiet times, it is about quality time with someone special. My priorities are family and friends and would like to share that with someone Very compassionate, as well as passionate with people I care about. Communication and honesty are high on my list of needs. If you like to communicate and are sincere and honest, then let?€?s ?€?strike up as match?€?",1,41-50,United States
34,"Panama City, Panama",hispanic,tourism,single,"I am very sociable, I like to travel, go to the beach, I am very affectionate.",0,31-40,Panama
43,"Rochester, New York, or Norcross, Georgia, United States",native american,other,divorced,"well am damn great gentlemen,shy and also optimistic about life,easy to go fellow and love kids aswell.. sensible and inevitably most shy but ready to learn and also a good or should i say a great listener my life revolves inmost with happiness basically my job and my offspring?€?s with which in all i give thanks to most high?€?
well am very much in a search of a good woman even though i am not in search for the perfect one but a woman who is a darling and also who cares about his man and the household she is betrothed to,seemingly very virtuous aND A WELL TO DO LADY",1,41-50,United States
30,"San Jos??, Desamparados, Costa Rica",asian,other,single,"I am fun, tender, I really like to draw and read. I am loving and very active",0,31-40,Costa Rica
23,"New York, United States",white,finance,single,"I am caring, understanding and open minded. I am also sociable, merry, curious, tender, kind and sympathetic. I am ready to help and support people. I think I am a clever and interesting person. I am ready to commit to long term relationship/marriage.",1,21-30,United States
52,"Los Angeles, California, United States",white,other,widowed,"I?€? m looking for an honest, loving woman who is not afraid to be open and communicate. I am a very loyal and trustworthy person who is looking to build a special friendship that, hopefully, will lead to marriage.",1,51-60,United States
38,"Lewisville, TX, USA",hispanic,engineering,single,"1.80 meters, thin,
Athlete, enjoys the outdoors and also being on the couch watching movies",0,31-40,United States
31,"Belmont, North Carolina, United States",mixed,military,single,"I signed up on this dating site in search of an ideal man that will bring an amazing revitalizing energy and youthful atmosphere to everything in my life. I want to feel like I?€?m walking through the world, like in a music video, and there?€?s an awesome soundtrack playing exclusively for me.
Am someone who respects family values, I tend to enjoy the company of family-members and am open to living a domestic life. My desire is to have a family sometime in the distant future. Although I occasionally enjoy cooking, I also like going to restaurants for dinner. I?€?m attracted to the idea of having a family and I?€?m willing to work hard to achieve this.",1,31-40,United States
51,"Dupont, Colorado, or New York, United States",white,technology,single,i am a simple and a nice looking man who is looking for a serious relationship with a woman i can trust and love with my heart.,1,51-60,United States
30,"Conyers, Georgia, or Houston, Texas, United States",mixed,sales,single,kate.knight47@yahoo.com,1,31-40,United States
35,"Albuquerque, NM, USA",white,transport,single,I am a hard worker and about business first,0,31-40,United States
29,"Kuala Lumpur or Johor, Malaysia",asian,other,single,"I am a well looking lady and am looking for the man to share these things with. Caring, loyal, loving and honnest, a man to share the good and the bad, the sweet and the sour cos are really used with honest and trust.",1,21-30,Malaysia
35,"Mountain View, California, or Federal Hill, Maryland, United States",white,self-employed,single,"I?€?m a fun lady who is building her life after some past hard time. I?€?m educated, currently building my business background and doing better. I?€?m open to learning something with the right man. I?€?m an open, outgoing, affectionate, articulate, and fun-loving person looking for the same in a partner. I?€?m a happy person who?€?s content with her life.
If you are caring, loving, and ready to meet a good listener and a fast learning woman. From being able to hold a great conversation to being open enough to express your needs and feelings. I?€?m super energetic, per ce, i am easy going reliable, sporting with a great sense of humor. I like to fish, yoga, sport, restaurant, swimming, cooking, pets.",1,31-40,United States
57,"Colorado Springs, United States",white,engineering,widowed,"Am a man who loves nature, down to earth, hard working, honest, caring and romantic.",1,51-60,United States
31,"Houston, Texas, United States",white,other,single,I?€?m basically a very positive person who loves humor and laughter and would love someone with an adventurous spirit and a positive attitude,1,31-40,United States
34,"Cherry Hill, NJ, USA",white,finance,single,"Im a hard workin who will be lovable, caring, supportive, and wanting to marry the right person...",0,31-40,United States
51,"Barranquilla, Atl??ntico, Colombia",hispanic,sales,widowed,"I am a serious person, very happy, respectful, with very serious intentions. I don't like adventures and I want to meet someone who wants the same thing as me.",0,51-60,Colombia
32,"Caracas, Distrito Capital, Venezuela",hispanic,other,single,"I am patient, I have many rules, I like to sleep, I like quiet time eating fruits.",0,31-40,Venezuela
54,"Tampa, Florida, United States",white,clerical,widowed,"I?€?m just an everyday, ordinary, average, normal man. Nothing special about me.I consider myself to be very simple.",1,51-60,United States
53,"Hawke's Bay, New Zealand",white,other,single,"Relaxed, easy going, love motorbikes hunting and Dogs",0,51-60,New Zealand
31,"Alexandria, VA, USA",white,construction,single,I love meeting people from all over the world,0,31-40,United States
51,"Atlanta, Georgia, or Austin, Texas, United States",white,military,single,"I will like to tell you more about myself but where do I start from okay. My name is James . living in USA in US military. Am presently single. I want to spend the rest of my life with someone who is friendly, honest, caring, and trustworthy and God fearing. I find very much peace and tranquility here. I`m athletic build, mentally stable, physically fit, a bunch of laughs, warm, caring, honest, a good listener, God Fearing, and a positive person. I am real easy person to talk to and a loving and outgoing father. I enjoy playing sax which i do often at my leisure time. I like going to the movies, or watching movies in my room or Cabin, I like swimming, listening to music, watching football and dance to any kind of music, I sing, sailing, going bowling and also a good cook. I am a family oriented person, love children and there is more, but it would be better for you to find some things out for yourself. It is very important for me to build a life of stability, security, and opportunity for the special person I hope to share my thoughts, feelings, experiences, dreams and fantasies with, and to offer the best opportunities for any kid that might be included in my life, both mine and that special person children, and that is my focus at this time and I also do enjoy my job . I am really interested in wanting to know about what makes you the special person you are today, I want to know more about your family, your background, your life experiences, past relationships, your goals and dreams, your interests, and anything else you want to tell me.",1,51-60,United States
37,"Belgrade, Serbia",white,analyst,single,"I like nature, parks, museums, I am glad to introduce with new people.",0,31-40,Serbia
19,"Barranquilla, Atl??ntico, Colombia",mixed,unemployed,single,"Fun person, open mind, I am looking for something in the future.",0,0-20,Colombia
43,"Johannesburg, South Africa",black,contractor,single,"Well behaved,good sense of humour,loving and love to be loved.",0,41-50,South Africa
55,"Los Angeles, California, United states",white,other,widowed,"I am honest and loving american man.
i?€?M A VERY HARD WORKING MAN?€? I HAVE WORKED SO HARD ALL MY LIFE TO OWN ALL THAT I GOT IN LIFE TODAY BUT I STILL GOT ONE THING MISSING IN MY LIFE. EVER SINCE I LOST MY WIFE I HAVEN?€?T BEEN SO LUCKY TO FIND THE RIGHT WOMAN THAT COULD REPLACE HER PLACE IN MY HEART. BUT I KEEP BELIEVING THAT IT CAN ONLY GET BETTER WITH FAITH..",1,51-60,United states
55,"Trujillo, Per??",hispanic,engineering,separated,I am looking for friendship from other countries. I am a sensitive and kind-hearted person. A lot of empathy with people.,0,51-60,Peru
47,"Los Angeles, California, United States",white,self-employed,divorced,"I am a man of great integrity, my quiet serene demeanor accords me an air of mystery and diffidence as I go my way as a serene, wise observer of human society. I have a penchant for remaining above the fray and for maintaining my individuality.",1,41-50,United States
64,"Savoy, IL, USA",white,housewife,divorced,"I paint rocks
color in adult color books
Read mysteries
Avid walker",0,61-70,United States
56,"New York, United States",white,self-employed,divorced,"I am a very lucky man to live a life of meaning and purpose that is deliberately mine. I only want to share all that I do have with someone who is my equal. My value as a human will be found in my intelligence, my sense of humor, my ability to love and make those around me happy and better. I long for experiences and not stuff. I think my few friends would say I am very independent, honest, creative, loyal and fun.",1,51-60,United States
42,"Provincia de Cartago, Cartago, Costa Rica",hispanic,technology,widowed,"Kind, friendly, loving, I like to cook, exercise and I also have a good humor. I love football",0,41-50,Costa Rica
29,"Santa Clara, Cuba",white,medical,single,"I love reading, music and cooking",0,21-30,Cuba
44,"Dallas, TX, USA",middle eastern,other,single,"Loyal,honest,sometimes crazy but with a good heart looking for my soul....Life without love is empty.",0,41-50,United States
35,"Brookfield, Missouri, United States",mixed,carer,single,"People say I?€?m a kind, generous, attentive, caring and affectionate lady with a good sense of humor. I think I am very positive! I am very easy-going and I simply adore communication and meeting new people. I have many interests in my life. I?€?m a person who likes to learn, discover and see new beautiful places. I love animals, flowers, and children. I like absolutely everything that surrounds me and I like to enjoy every moment of my life.I believe that life should be lived actively. I?€?m cheerful and sociable, a little emotional and romantic, a devoted friend. This is what makes me irresistible. I can be the best wife and perfect hostess, who knows how to charm our guests. Just open up your heart to me. I am optimistic, goal-oriented, reasonable, kind and sensitive woman. I love my family and friends, their devotion is very precious to me. I particularly like to spend my free time with the people I love. I believe that in everything should be balance in a relationship, job, and bringing up children. We should find our ?€?golden mean?€? and then we will be happy. I am strong and self -confident, but no matter how trivial it sounds, sometimes I want to feel weak and protected in strong and tender man?€?s hands.",1,31-40,United States
37,"Gwynn Oak, Baltimore, MD 21207, USA",black,technology,single,"I?€?m very honest, friendly, Clever and jovial person",0,31-40,United States
25,"Los Angeles, California, United States",white,other,single,i am here for a serious relationship. to find my lucky man of my life,1,21-30,United States
35,"Kiev Ukraine, or Bangkok, Thailand, or Izlake, Slovenia",white,teacher,single,"Fun filled,easy going and down to earth.I love kids and could do any thing to put a smile on their faces.My hobbies are reading,watching movies and sight seeing.",1,31-40,Slovenia
42,"Santa Cruz de la Sierra, Bolivia",white,analyst,single,Man with outstanding personality and gently behaviour plus very tall 1.93 mts,0,41-50,Bolivia
25,"New York, United States",middle eastern,carer,single,Am hard working woman of dignity and respect and also God fearing person.,1,21-30,United States
38,"Guatemala City, Guatemala",hispanic,sales,single,"I am a Christian, 100% a family man and I am looking for a special girl who has values ?€??€?and who loves God.",0,31-40,Guatemala
28,"Vermont, or Connecticut, United States or Versailles, France",white,self-employed,single,"I?€?m very easy to get along with, I love to laugh and have fun. I am very passionate, and secure in who I am. I respect people and want to be respected. I love to be showered with attention. I love going out and dancing and enjoying the person I am with.I?€?m open-hearted girl who likes to take everything that life can offer but to give in return as well! I am active and enthusiastic, I am cheerful and I treat people just I want them to treat me. I am attentive and caring; I need to love and to be loved, to bring my future man happiness and joy. I don?€?t like to sit on one place and I am dreaming of strong and friendly family. I am ready to have serious relationship and I am ready to start with a man that knows how to make a woman happy?€?",1,21-30,France
39,"Cali, Valle del Cauca, Colombia",hispanic,beauty,single,I am a person with values. I always try to do my best. Cheerful fighter,0,31-40,Colombia
30,"North Carolina, United States",black,fashion,single,Just a simple lady. I like the truth in all instances. I like my life.,1,31-40,United States
51,"Buenos Aires, CABA, Argentina",hispanic,repair,divorced,I am Venezuelan living in Argentina I want a girlfriend for a relationship in Canada,0,51-60,Argentina
47,"Los Angeles, California, United States",white,military,single,"I am 5?€?11ft 180cm, athletic build,blue eyes, no tats or piercing, clean cut ?€?just and all American/polish down to earth type of man?€?, good looking in a manly impressive way. I can tell you I?€?m a very honest, loving, caring, good person!!!!..I love reading,listening to music,like action comedy movies,love meeting people far or near, i love been with friend and going out for camping and most of all been close to the nature.",1,41-50,United States
38,"Reynosa, Tamps., M??xico",hispanic,other,single,"I am a faithful, respectful, loving, somewhat shy, and reserved woman. I like to live with the family, and read the Bible and I love nature. looking to find true love",0,31-40,Mexico
51,"Umhlanga, South Africa",asian,technology,single,Sincerely honest and strong believer in destiny and law of karma,0,51-60,South Africa
28,"Austin, Texas, United States",white,engineering,single,"Hello I?€?m from texas, austin I?€?m looking for someone to keep me company in the evenings I have nothing to do at alllll and get extremely bored Anyone wanna chat?",1,21-30,United States
35,"Guadalajara, Jal., M??xico",hispanic,other,single,"Kind, affectionate, attentive, and I seek to make life",0,31-40,Mexico
33,"Chicago, Illinois, or Anchorage, Alaska, United States",black,self-employed,single,"I am very open and value in people honesty and straightness. I like to find out new things and find new emotions in life. I believe that everything is possible in our life, we only need to have desire for something, and reach our goal. Now my goal is to find a partner for life and I would do all I can to find that only one right person for me.
I have read that butterflies can fulfill our dreams and they bring them to heaven. That is why we should not catch them and stop them on their way. I wonder if I were a butterfly what wish errand you would give to me? Perhaps I can do that. I like to help people and to be outdoors, I like flowers a lot too. And bright dresses. I am just an extraordinary girl just wishing to be happy.",1,31-40,United States
52,"Utah, or Chicago, Illinois, United States",native american,military,widowed,"I?€?m the kind of man that if you?€?re stranded on the road side, in the middle of the night and need me, I will be there for you. If you?€?re in the office and can?€?t get away cause there?€?s nobody to prepare your lunch, I?€?m there for You. That?€?s my word to you and I keep by my word and have thus far. I like every of your hobbies and this are my hobbies guess you like them, I have a great sense of humor and personality. I?€?m romantic sensual and passionate. have few interests including long romantic walk, holding hands and sneaking in a kiss with a partner anywhere from the park to the beach. I like cooking, enjoy watching sport either on TV or at a stadium Other interests are playing golf, camping and boating. I enjoy cuddling while watching a movie or just having a coffee and talking about whatever comes to mind. I want a woman that have sense of humor and curious about new things. A woman that can share both old or new experiences. A woman who believes that a true intimate partner looks out for the wife voice.",1,51-60,United States
49,"Warren, MI 48089, USA",black,consultant,single,"Headed to Montego Bay in a few days. I am very outgoing and adventurous. Seeking a professional, mature male companion.",0,41-50,United States
24,"Hamburg, Germany",black,fashion,single,"I?€?m Mabel, by name single and never been married I like honesty, trust, love, caring, truth and respect, contact me at this love to meet so that we can know ourselves better. Hope to talk soon.",1,21-30,Germany
45,"West Monroe, Louisiana, United States",white,military,widowed,"Im just a simple person,down to heart and looking for happiness again.Im soldier and i love what im doing .",1,41-50,United States
59,"P??rnu, P??rnu County, Estonia",white,artist,divorced,"Hi . I'm tatto free and animal lover. Men with tattoos , fat , 
alcohol and drug addicts , religious, please don't disturb me.",0,51-60,Estonia
31,"Medell??n, Medellin, Antioquia, Colombia",white,other,single,"Cool entrepreneur, I like learning languages, dancing, sports, making coffee, studying, medicine, working, thinking positively.",0,31-40,Colombia
58,"Manchester, New Hampshire, United States",native american,military,divorced,I am General David Gerard Perkins and i want honest woman in my life,1,51-60,United States
41,"Lima, Per??",white,other,separated,"I like to sing, dance and I am very sincere and happy.",0,41-50,Peru
30,"Cali, Valle del Cauca, Colombia",black,other,single,Of the affectionate loving gel of our what I feel,0,31-40,Colombia
49,"London, United Kingdom, or New York, United States",white,contractor,widowed,"It actually pretty simple.I will like to meet someone who will make me feel special ,someone who has sense of humor ,sincere,honesty,and faithful. I think am pretty flexible after that .The rest is chemistry .If you fall for someone, going out is great ,staying home can be as thrilling. Exciting times and quite times all blend into a wonderful relationship with each other.A wonderful candle lit dinner and dancing afterwards, a broad away play, or a cooking together after a day at work, or we give each other foot rubs or back rubs on the couch.Someone who wants to talk about today, think about tomorrow and beyond. i would love to find someone who likes holding hands when we walk, walking with our arms around each other at the right time.",1,41-50,United States
60,"Milton, FL, USA",white,retired,single,I'm new at this dating thing I don't have much experience in it. Although I do in other departments lol,0,61-70,United States
42,"Lisboa, Portugal",white,engineering,divorced,"I am a simple man. I like reading, sports, traveling,...",0,41-50,Portugal
39,"Philadelphia, Pennsylvania, United States",white,engineering,widowed,"I am a very open and honest person. I stay very active so I do not sit on the couch and watch a lot of TV. I prefer to be on the go and I promise you that will never be bored. I love to laugh, great conversations, fine wines,romantic times and passionate nights. To me life is an adventure that should be shared and enjoyed. I love to travel, particularly outside of the US, I always enjoy experiencing other cultures and lifestyles. I believe in living a healthy, active life and in keeping in shape both physically and mentally. I enjoy the outdoors, and any type of sports. I live an active life and enjoy learning new things but I also enjoy time relaxing and understand importance of spending time with family and friends. I am very financially and emotionally stable. I am very financially successful and I live a very good life. I have achieved many of my goals in life and now I want to spend and share the rest of it with an exceptional woman.
I am looking for a serious relationship that will lead to marriage and that will last a lifetime. I want a woman who will not only be my lover but also my best friend. I believe a relationship should be based on love, respect, trust, honor, loyalty and passion for each other. I am searching for an intelligent,attractive, physically fit,humorous, adventurous, caring woman with a strong personality and sense of independence who wants to be supported by a strong caring man. If you are looking for a true gentleman and the word chivalry has a meaning to you we maybe a great match. I do believe in true and lasting love",1,31-40,United States
61,"Seattle, Washington, United States",hispanic,engineering,widowed,"I am a sensitive, intelligent, passionate affectionate, loyal, witty, intelligent, humorous, efficient, creative, sensitive, caring, generous, communicative, sensual, charming, reliable, cleverly neat man looking for someone special to share my world with and potentially, to grow old with",1,61-70,United States
43,"Prague, Czech Republic",white,military,widowed,i am elizabeth marian i am here looking for serious relationship,1,41-50,Czech Republic
49,"Athens, Greece",white,other,separated,i am at divorce and live with me a son 21 years old and a daughter 15 years old,0,41-50,Greece
36,"Spokane, Washington, United States, or Sydney, New South Wales, Australia",white,other,single,"Well, if I need to describe my personality, I can say that I am pretty active lady who is trying to be busy with something all the time and this makes me feel alive. I am goal-oriented and I like to set new goals. With my beloved person I want to make mutual goals. I can say that I am life-loving person and enjoy my life a lot.",1,31-40,Australia
43,"Huntsville, Alabama, United States",Native American,accounting,divorced,"IM JUSTIN SMITH COOL HEADED MAN, LOVE ALL KIND OF INDOOR GAMES, NOT REALLY IN FOR A NON SERIOUS ORIENTED PERSON COS I BELIEVE WE MORE MATURE HERE. YOU DID LOVE IT IF YOU ARE WITH ME AND IM LOOKING FORWARD TO MAKE MORE FRIENDS, AND FIND MYSELF THE LOVE OF MY LIFE.",1,41-50,United States
32,"Bucharest, Romania",black,other,single,"New to the city, looking for a girl to play and have fun with me",0,31-40,Romania
40,"Bayamo, Cuba",hispanic,technology,divorced,"happy, discreet, like to exercise, I love animals, friend of my friends.",0,41-50,Cuba
49,"Los Angeles, California, United States",white,engineering,divorced,"I am a sensitive, intelligent, passionate, affectionate, loyal, humorous, efficient, creative, caring, generous, communicative, sensual, charming, reliable, cleverly neat Man looking for someone special to share my world with and potentially, to grow old with. I am committed life to living to the fullest and in growing as a person. Having fun is very important to me. I am a very strong believer in my religion. I am a very hard working and outgoing man and there are not many things that stop me from from reaching my goals. I like all types of music but my favorite music by far is blues, you can write me to my email",1,41-50,United States
34,"Sumy, Ukraine",white,other,single,"I?€?m single Ukrainian woman and I?€?m looking for my love here. I?€?m cheerful, have a calm and tender character, I do not accept rudeness and violence in relations. I can relocate if it will be needed.",1,31-40,Ukraine
26,"new jersey, United States",other,artist,single,emilymartin005@yahoo.com,1,21-30,United States
55,"Zurich, Switzerland",white,engineering,single,"Am Malta, am here in search of a soul mate,Am from Switzerland, was born in Florida, am caring, honest,hardworking",1,51-60,Switzerland
40,"Lima, Peru",hispanic,accounting,separated,"RESPONSIBLE, AND KNOW OTHER CITIES, INHABITANTS AND CUSTOMS",0,41-50,Peru
29,"Maracay, Aragua, Venezuela",white,academic,single,"I am extroverted, affectionate, friendly, detail-oriented, attentive, communicative.",0,21-30,Venezuela
53,"Kihei, HI 96753, USA",mixed,construction,single,Great guy work hard make you laugh and smile treat you good take care of you. In shape love outdoor activities looking for my one and only queen,0,51-60,United States
32,"Toronto, Canada",white,carer,single,"My goal is a monogamous relationship leading to a lifelong companionship?€? I believe that you don?€?t look for love, but love just finds you when you least expect it, although my friends have finally convinced me to give this a try. They have found somebody Special in their life online, so now I?€?m here hoping to make a New Friend. I?€?m a Positive and Happy person and I love to Laugh. I Love Life and I Cherish every moment of it dearly. I?€?m Candid, Simple and Sincere, Romantic, Kind, Compassionate and Passionate, Sensitive and understanding, Caring and Loyal. I?€?m Dependable, Trustworthy, Devoted and Affectionate and Genuinely Faithful and the most important qualities I need in a relationship are Security and Safety. I?€?m looking for a True Lover, friend/companion to complement my life?€?..",1,31-40,Canada
56,"Blaine, WA, USA",white,disabled,divorced,"Lonely 50 yr old disabled vet who enjoys football and hockey, as well as walks on the beach and cuddling up to a good movie.",0,51-60,United States
58,"Houston, Texas, United States",white,military,divorced,"I am the infantry. I am my country?€?s strength in war, Her deterant in peace. I am the heart of the fight where ever, when ever. I carry America?€?s faith and honor against her enemies. I am the Queen of Battle (chess term for you layman). I am what my country expects me to be- the best trained soldier in the world! And in the race for victory I am swift,",1,51-60,United States
55,"New York, United States",white,military,single,"Hello dear,
Am flora darpino am contacting you because i have something very important and serious i wants to share with you and i would like you to contact me
through my private e_mail address (floradarpino206@gmail.com) for more details about me and also privacy.
Thanks,
Miss.flora darpino.",1,51-60,United States
29,"Toronto, Ontario, Canada",black,self-employed,single,I am beautiful honest girl! I am looking for a serious relationship!,1,21-30,Canada
47,"Hartford, Connecticut or Bryan, Texas United States",white,self-employed,divorced,"I am sweet, thoughtful, kind, and have a great sense of humor. I am very easy going and laid back. I am often told that I am very easy to talk with. I am not an angry person, and I am not interested in someone that is. Having past events shape your life is one thing, carrying the past as a burden that sits heavily upon your shoulders is not the way I view life. I am happy with myself, and my life, and I like to think it shows. I have a wonderful Son. I would do best with someone that is not extremely uptight, unless of course you are willing to learn to let things go! I love to try new things, and can laugh at myself when I fail miserably. I don?€?t give up easily, and have so many things I?€?ve yet to try. Please love to laugh and have fun, what is better than laughing so hard your stomach hurts? I love traveling, going on unknown adventures, and trying something I thought I never would. I will try anything once, well, but fun none the less! I take pride in my appearance, but am not high maintenance",1,41-50,Texas United States
29,"Trenton, Quinte West, ON, Canada",white,manufacturing,single,I'm a 24 year old blond boy who is just looking for a woman I can talk to whether she is old enough to be my old babysitter or old enough to be my mother.,0,21-30,Canada
51,"Holgu??n, Cuba",white,academic,divorced,"I am happy, I like to share with friends, I like to sing, cook, walk, go to the beach,",0,51-60,Cuba
45,"Eau Claire, WI, USA",black,other,single,"Respectful, educated, honest, pleasant with good principles, I consider myself a person with good feelings.",0,41-50,United States
40,"New York, United States",white,finance,widowed,"my name is Frederick. im 40 years single man. My hobbies include reading books, watching movies and traveling to tourist centers.",1,41-50,United States
25,"New York, United States, or Ulyanovsk, Russia",white,clerical,single,"Kind, intelligent, very beautiful young girl get acquainted with a reliable man for creation of family",1,21-30,Russia
35,"El Tigre 6050, Anzo??tegui, Venezuela",hispanic,engineering,single,"Brave, intelligent, fighter",0,31-40,Venezuela
