,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
13235,male,43 y.o.,"Zagreb, Croatia",single,Dario007,white,-,"Sea, sport, music, food, traveling, mountains, art...",from 23 to 40,want children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship",CUBA
13817,female,56 y.o.,"Zagreb, Croatia",divorced,andrejac,white,-,-,from 46 to 60,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,CUBA
14168,male,37 y.o.,"Koprivnica, Croatia",single,gorann,white,-,-,from 25 to 35,want children,Straight,Christian,light smoker,never,"Romance, Serious Relationship",CUBA
14477,female,35 y.o.,"Zadar, Croatia",single,Khush,white,Manager,-,from 23 to 45,no children,Straight,Hindu,social smoker,social drinker,Friendship,CUBA
33,female,47 y.o.,"Camag??ey, Cuba",single,ClaudiaV,white,Contador,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship,CUBA
45,male,59 y.o.,"La Habana, Cuba",divorced,Vity,hispanic,Empresario,-,from 35 to 65,want children,Straight,Atheist,non-smoker,never,"Serious Relationship, Marriage",CUBA
270,female,59 y.o.,"Holgu??n, Cuba",divorced,Ana64,white,pedicura,-,from 57 to 72,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,CUBA
297,female,62 y.o.,"Camag??ey, Cuba",single,Pau62,black,Jubilada,-,from 19 to 86,1-2 living with me,Straight,Spiritual,non-smoker,never,Friendship,CUBA
355,male,58 y.o.,"La Habana, Cuba",single,rty112,white,murti oficio,-,from 30 to 48,want children,Straight,Spiritual,non-smoker,never,"Romance, Serious Relationship, Marriage",CUBA
388,male,48 y.o.,"Las Tunas, Cuba",single,Pinocho7509,hispanic,Licenciado en traumatolog??a,-,from 35 to 50,1-2 living elsewhere,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",CUBA
414,male,29 y.o.,"Cienfuegos, Cuba",single,Carlos94,white,Profesor,-,from 19 to 35,no children,Straight,Other,non-smoker,never,Friendship,CUBA
522,female,23 y.o.,"La Habana, Cuba",single,Carmen90,hispanic,Mesera en un bar,Soy madre soltera vivo sola trabajo y estudio pediatria,from 25 to 86,want children,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",CUBA
588,female,38 y.o.,"Pinar del R??o, Cuba",separated,Yarelys,mixed,Licenciada en Terapia F??sica y Rehabilitaci??n,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Friendship,CUBA
601,male,31 y.o.,"Havana, Cuba",single,ALDODN93,white,Servicios t??cnicos en hoteles,-,from 19 to 35,no children,Straight,Atheist,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CUBA
628,male,61 y.o.,"Holgu??n, Cuba",divorced,Leonardobenavides63,mixed,Ingeniero civil,-,from 45 to 50,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,CUBA
634,male,40 y.o.,"Havana, Cuba",single,Jeanayes,hispanic,-,"Soy un chico de 40 a??os, me gusta compartir con mis amistades, salir a las fiestas y compartir siempre que sea sanamente, no me gustan las mentiras no decirlas tampoco, soy amable y educado, soy de esos chicos que valora mucho la amistad siempre y cuando sea sincera y no venga en busca de algo material o sacar provecho de ello. soy muy curioso me gusta siempre saber todo o casi todo de la persona con quien estoy empezando una nueva amistad. Siempre aqu?? tendr??s un buen amigo para lo que te haga falta.",from 25 to 35,want children,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CUBA
723,male,51 y.o.,"Ciego de ??vila, Cuba",single,Iriamvn72,mixed,-,-,from 25 to 45,no children,Straight,Other,non-smoker,social drinker,Serious Relationship,CUBA
939,male,47 y.o.,"Santa Clara, Cuba",single,Diogo23,hispanic,Capit??n de barco,-,from 19 to 57,no children,Bisexual,Christian,non-smoker,social drinker,"Friendship, Serious Relationship, Marriage",CUBA
995,female,44 y.o.,"La Habana, Cuba",divorced,Danet,mixed,Gastronomica,Soy una mujer independiente amante de la sinceridad del ser humano,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CUBA
1019,female,37 y.o.,"Bayamo, Cuba",single,DianaRosa,white,Licenciada Ciencias Inform??ticas,-,from 19 to 86,no children,Straight,Other,non-smoker,never,Serious Relationship,CUBA
1047,female,64 y.o.,"Santa Clara, Cuba",single,caridadc970,mixed,Jubilada lo,busco y quiero un hombre que comprenda mis razone y que me apoye que me brinde ayuda y compa????a que sea comprometido con migo y desee una relaci??n a largo plazo y me brinde seguridad y felicidad que sea amoroso y este seguro lo que quiere y desee buscame si cree que te mereces todo mi amor ????,from 60 to 70,more than 2 living elsewhere,Straight,Other,non-smoker,never,Marriage,CUBA
1157,female,58 y.o.,"Santiago de Cuba, Cuba",divorced,Mebene,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Romance,CUBA
1325,female,50 y.o.,"Havana, Cuba",divorced,Murumbi,hispanic,Guionista de TV,"Mujer encantadora, inteligente, simp??tica y divertida en busca de compa??ero similar.",from 47 to 57,1-2 living with me,Straight,Atheist,social smoker,social drinker,Romance,CUBA
1419,female,25 y.o.,"Las Tunas, Cuba",single,Meli19,hispanic,Estudiante,-,from 19 to 86,no children,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CUBA
1476,female,53 y.o.,"La Habana, Cuba",single,Mariposas2018,white,arquitecta,-,from 48 to 52,don't want children,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CUBA
1515,male,39 y.o.,"Havana, Cuba",single,jorgeluis85,white,restaurador,-,from 25 to 32,no children,Straight,Atheist,non-smoker,never,"Romance, Serious Relationship, Marriage",CUBA
1539,male,40 y.o.,"La Habana, Cuba",single,Nerdy,hispanic,Pintor,-,from 20 to 50,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",CUBA
1566,female,52 y.o.,"La Habana, Cuba",single,norclausha,mixed,contadora,-,from 45 to 57,1-2 living with me,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",CUBA
1614,male,44 y.o.,"La Habana, Cuba",single,Lismar,hispanic,Gu??a de Tur??smo,-,from 19 to 40,1-2 living elsewhere,Straight,Spiritual,social smoker,social drinker,Serious Relationship,CUBA
1656,male,55 y.o.,"La Habana, Cuba",divorced,Angelcubano,black,-,-,from 35 to 48,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,Serious Relationship,CUBA
1696,male,52 y.o.,"La Habana, Cuba",single,RPP,white,administrativo,-,from 34 to 45,more than 2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CUBA
1770,female,34 y.o.,"La Habana, Cuba",single,Claudia8912,white,cuenta propista,-,from 30 to 40,1-2 living with me,Straight,Atheist,non-smoker,never,Serious Relationship,CUBA
1791,male,38 y.o.,"Santiago de Cuba, Cuba",single,jesusr234567,hispanic,-,-,from 25 to 33,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,CUBA
1849,female,38 y.o.,"Cienfuegos, Cuba",single,Mulata85,black,-,-,from 19 to 86,1-2 living with me,Straight,Other,social smoker,social drinker,Serious Relationship,CUBA
2062,male,45 y.o.,"Camag??ey, Cuba",single,juniorpd,hispanic,tecnico electronica,"soy un cubanito de buenos sentimientos, buen caracter, apasionado, romantico, detallista y fiel, busco aquella persona que este dispuesta a caminar junto a mi por la vida sin importar todos aquellos momentos dificiles que se puedan presentar. estoy dispuesto a ir donde se encuentre mi amor sin importar las distancias.",from 20 to 45,no children,Straight,Spiritual,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
2163,female,35 y.o.,"Santiago de Cuba, Cuba",single,Larisleidys,white,Gastron??mica,Soy una persona que le gusta la estabilida. Sobre todo familiar.,from 40 to 51,want children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,CUBA
2541,male,45 y.o.,"La Habana, Cuba",separated,JG,hispanic,Fotografo,-,from 25 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,CUBA
2631,male,43 y.o.,"La Habana, Cuba",single,abdielp,hispanic,-,-,from 30 to 40,no children,Straight,Spiritual,non-smoker,social drinker,"Serious Relationship, Marriage",CUBA
2651,male,57 y.o.,"La Habana, Cuba",single,omarkumar,hispanic,profesor de yoga y musico,"soy un hombre sensible,apasionado y a la vez esoiritual",from 40 to 58,no children,Straight,Spiritual,non-smoker,never,Serious Relationship,CUBA
2718,male,56 y.o.,"La Habana, Cuba",divorced,marquezrene50,white,energetico,-,from 40 to 55,more than 2 living elsewhere,Straight,Atheist,social smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
3216,male,51 y.o.,"La Habana, Cuba",single,Morfeo2704,white,-,-,from 19 to 38,want children,Straight,Christian,social smoker,social drinker,"Friendship, Romance, Serious Relationship",CUBA
3295,male,40 y.o.,"Bayamo, Cuba",divorced,banier,hispanic,ing Informatico y medico veterinario,"alegre, discreto, gusto de hacer ejercicios, amo los animales, amigo de mis amigos.",from 20 to 38,1-2 living elsewhere,Straight,Atheist,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CUBA
3411,male,41 y.o.,"Havana, Cuba",single,Evry,white,Inform??tico,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",CUBA
3477,female,37 y.o.,"La Habana, Cuba",single,PuraRaza_DM,black,Profesora y Bailaoa,-,from 30 to 45,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Friendship,CUBA
3568,male,43 y.o.,"La Habana, Cuba",single,maikelr2,mixed,-,-,from 25 to 45,1-2 living elsewhere,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CUBA
3569,male,44 y.o.,"Guantanamo, Cuba",single,Osmani2018,black,Elavorador,Busco una persona seria la cual estoy dispuesto a tener una relacion seri y hacer una familia me gusta divertirme amo las peliculas de acion y muy trabajador,from 19 to 86,no children,Straight,Atheist,social smoker,occasional drinker,Serious Relationship,CUBA
3689,male,53 y.o.,"Holgu??n, Cuba",divorced,jorgerp70,hispanic,enfermero,"soy serio, honesto, fiel, amoroso, trabajador",from 25 to 55,1-2 living elsewhere,Straight,Other,non-smoker,never,Marriage,CUBA
3735,female,53 y.o.,"La Habana, Cuba",single,Gleidy,hispanic,Contadora,"Trabajadora rom??ntica noble, llena de salud",from 48 to 86,no children,Straight,Other,non-smoker,never,"Friendship, Serious Relationship, Marriage",CUBA
3927,male,42 y.o.,"Holgu??n, Cuba",single,elangel,hispanic,autonomo,-,from 19 to 36,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
4098,male,54 y.o.,"La Habana, Cuba",separated,Lonk,hispanic,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Serious Relationship, Marriage",CUBA
4130,male,55 y.o.,"Santiago de Cuba, Cuba",divorced,manuel69175,hispanic,-,-,from 35 to 45,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,"Friendship, Serious Relationship",CUBA
4139,male,52 y.o.,"La Habana, Cuba",single,Aragorn47,white,Informatico,"Soy cari??oso, amoroso, apasionado, me gustan los ni??os, los deportes",from 25 to 40,1-2 living elsewhere,Straight,Atheist,non-smoker,occasional drinker,"Friendship, Serious Relationship, Marriage",CUBA
4152,male,49 y.o.,"Las Tunas, Cuba",single,740518lpm,native american,Chofer,-,from 30 to 45,1-2 living with me,Straight,Atheist,non-smoker,never,Serious Relationship,CUBA
4261,female,46 y.o.,"Alba, Santiago de Cuba, Cuba",separated,gardeniar,white,-,-,from 19 to 86,want children,Straight,Christian,light smoker,social drinker,Serious Relationship,CUBA
4276,male,66 y.o.,"La Habana, Cuba",divorced,keko,white,cuenta propia,-,from 19 to 86,1-2 living with me,Straight,Atheist,social smoker,occasional drinker,Serious Relationship,CUBA
4280,male,60 y.o.,"La Habana, Cuba",separated,Eros1963,hispanic,-,"Caballero Mexicano, Maduro de 55 a??os con la experiencia que me ha brindado la vida, alegre, optimista, emprendedor, s?? muy bien lo que de la vida deseo, como tambi??n lo que no me agrada.

No estoy aqu?? para ayudar a nadie con "" Los traumas de su pasado "" 

Busco una compa??era de vida, optimista, alegre y con la suficiente madurez ps??quica y emocional forjada en la experiencia de la vida.",from 39 to 58,more than 2 living elsewhere,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CUBA
4392,male,61 y.o.,"La Habana, Cuba",separated,JorgeTGuerra,hispanic,Contable,"Me considero un hombre sincero, romantico y cari??oso con deseos de vivir cada dia de la manera mas agradable posible y abierto a lo que pueda enocntrar o surgir de este sitio",from 51 to 70,1-2 living elsewhere,Straight,Atheist,non-smoker,never,"Serious Relationship, Marriage",CUBA
4424,male,32 y.o.,"La Habana, Cuba",single,Jhimmy12,hispanic,Mecanico,-,from 19 to 32,want children,Straight,Other,non-smoker,social drinker,Serious Relationship,CUBA
4430,male,44 y.o.,"Havana, Cuba",single,Axess,hispanic,Teacher,-,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,"Serious Relationship, Marriage",CUBA
4529,male,61 y.o.,"La Habana, Cuba",single,juanc43,hispanic,-,-,from 35 to 60,1-2 living elsewhere,Straight,Other,non-smoker,never,Marriage,CUBA
4538,female,33 y.o.,Cuba,single,morenacubana,black,Farmaceutica,-,from 19 to 86,no children,Straight,Other,non-smoker,never,Serious Relationship,CUBA
4578,male,71 y.o.,"Holgu??n, Cuba",single,gisi,white,profesor retirado,Soy un profesor de Alemania que le gusta viajar y conocer gente,from 19 to 37,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance",CUBA
4637,male,35 y.o.,"Ranchuelo, Cuba",divorced,MAYI30,white,INFORMATICO,-,from 19 to 39,1-2 living elsewhere,Straight,Other,light smoker,occasional drinker,"Friendship, Romance, Serious Relationship",CUBA
4881,male,40 y.o.,"La Habana, Cuba",single,JAN123,white,RESTAURADOR,-,from 19 to 86,no children,Straight,Atheist,light smoker,occasional drinker,Friendship,CUBA
4932,male,37 y.o.,"Camag??ey, Cuba",single,landy31,hispanic,Tec Ciencias Informaticas,hola soy un hombre cari??oso romantico y muy divertido me encantaria poder encontrar buenas amistades y una chica especial para toda la vida si dios me lo permite,from 19 to 45,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
5030,male,37 y.o.,"La Habana, Cuba",single,frankielhernandez,hispanic,Licenciado en Historia Universal,Me gustan las conversaciones inteligentes..,from 27 to 33,want children,Straight,Spiritual,social smoker,social drinker,"Romance, Serious Relationship, Marriage",CUBA
5079,male,41 y.o.,"La Habana, Cuba",divorced,Duque82,white,Realizador Audiovisual,-,from 19 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",CUBA
5167,male,60 y.o.,"Havana, Cuba",divorced,EPerez,black,Contador,-,from 19 to 86,no children,Straight,Other,light smoker,social drinker,Serious Relationship,CUBA
5300,female,27 y.o.,"Villa Clara, Cuba",single,Rachel96,hispanic,Doctora,-,from 24 to 40,no children,Straight,Christian,non-smoker,occasional drinker,Friendship,CUBA
5395,male,45 y.o.,"Ciego de ??vila, Cuba",single,mariomartinez,white,Obrero,-,from 25 to 60,no children,Straight,Christian,non-smoker,never,Marriage,CUBA
5398,female,61 y.o.,"Havana, Cuba",separated,Tt3131,hispanic,autonomo,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,light smoker,never,Friendship,CUBA
5424,female,42 y.o.,"La Habana, Cuba",single,Noslen,mixed,-,-,from 45 to 60,want children,Straight,Other,light smoker,occasional drinker,Marriage,CUBA
5441,male,29 y.o.,"Cienfuegos, Cuba",single,Leo1994,hispanic,Barbero,Soy un hombre cari??oso detallista mido 1.72,from 19 to 45,no children,Straight,Atheist,non-smoker,social drinker,Serious Relationship,CUBA
5501,male,50 y.o.,"Holgu??n, Cuba",divorced,Nicos73,hispanic,"Ingeniero mec??nico, bombero",-,from 19 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",CUBA
5536,male,32 y.o.,"Villa Clara, Cuba",single,Ahmed0224,white,Enfermero-anestesista,-,from 19 to 45,no children,Straight,Spiritual,non-smoker,occasional drinker,Serious Relationship,CUBA
5651,male,44 y.o.,"La Habana, Cuba",divorced,YasserP,hispanic,Seguridad de valores,-,from 30 to 46,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
5699,female,30 y.o.,"Guant??namo, Cuba",single,Dianelis,hispanic,Bailarina,Soy una latina buscando una segunda oportunidad me gusta el baile la m??sica cosinar y sobre todo pasar tiempo con la familia,from 19 to 86,1-2 living with me,Straight,Spiritual,non-smoker,never,Marriage,CUBA
5719,male,50 y.o.,"La Habana, Cuba",divorced,Joelglfr,white,Arrendamiento,-,from 30 to 52,no children,Straight,Christian,non-smoker,never,Serious Relationship,CUBA
5723,female,59 y.o.,"La Habana, Cuba",single,Ivanna51,hispanic,-,-,from 50 to 67,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Friendship, Serious Relationship",CUBA
5736,male,40 y.o.,"Matanzas, Cuba",single,Corey83,white,Guia d Turismo,-,from 22 to 30,no children,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CUBA
5952,female,54 y.o.,"Sancti Sp??ritus, Cuba",divorced,Carmen29,white,-,-,from 40 to 60,no children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",CUBA
6030,female,35 y.o.,"Santiago de Cuba, Cuba",single,Dayi88,white,Manicurista,-,from 19 to 86,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,CUBA
6073,female,57 y.o.,"Pinar del Rio, Cuba",single,Aurora1966,hispanic,Profesora de Universidad y Educadora de C??rculo infantil,"Soy una mujer madura,responsable,alegre,me caracteriza mi espontaneidad,disfruto la lectura,el cine,el teatro,adoro bailar,el mar,ver la puesta del sol,soy cari??osa,atenta y muy fiel a las personas q quiero",from 50 to 65,no children,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance",CUBA
6108,male,47 y.o.,"La Habana, Cuba",single,xandercuba,black,-,-,from 19 to 86,no children,Straight,Other,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",CUBA
6162,female,35 y.o.,"La Habana, Cuba",single,Milili,white,Recepcion,-,from 35 to 43,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",CUBA
6184,female,57 y.o.,"La Habana, Cuba",separated,Yucimi,hispanic,Freelancer,-,from 53 to 68,more than 2 living with me,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",CUBA
6260,male,35 y.o.,"Santiago de Cuba, Cuba",single,Reinaldo,hispanic,Medico,-,from 19 to 86,don't want children,Straight,Atheist,non-smoker,social drinker,"Serious Relationship, Marriage",CUBA
6296,male,39 y.o.,"Holgu??n, Cuba",single,Octaviohpl,hispanic,M??dico,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,Serious Relationship,CUBA
6312,female,35 y.o.,"Havana, Cuba",single,lisandrans,hispanic,-,-,from 19 to 86,want children,Straight,Other,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",CUBA
6359,male,39 y.o.,"Holgu??n, Cuba",single,Mercer,white,Barbero,"Hi, i believe in that someone special that is out there for me as much as i will be hers, but I have waited enough so, I?€?m out there looking for you, and taking things in my own hands. I?€?m not going leave this to chance or fate, not anymore.",from 23 to 36,no children,Straight,Christian,social smoker,social drinker,"Friendship, Serious Relationship",CUBA
6368,female,33 y.o.,"Holgu??n, Cuba",single,Yanela,mixed,Ingeniera Civil,-,from 28 to 48,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CUBA
6430,male,44 y.o.,"Holgu??n, Cuba",divorced,Yoelvis39,hispanic,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,CUBA
6451,female,35 y.o.,"Holgu??n, Cuba",single,Yrg5494,hispanic,Estilista,-,from 19 to 86,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CUBA
6466,male,38 y.o.,"La Habana, Cuba",single,Denny850803,mixed,Contador,-,from 19 to 46,want children,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CUBA
6514,male,52 y.o.,"La Habana, Cuba",single,Ismael72,white,Ingeniero,-,from 37 to 47,no children,Straight,Atheist,social smoker,social drinker,Romance,CUBA
6523,female,52 y.o.,"La Habana, Cuba",single,elena71,hispanic,contadora,"Honesta, sincera, cari??osa, inteligente, emprendedora y de car??cter fuerte.",from 40 to 60,no children,Straight,Atheist,non-smoker,social drinker,"Friendship, Serious Relationship",CUBA
6564,female,60 y.o.,"La Habana, Cuba",divorced,Moraima,black,Econom??a,-,from 54 to 65,1-2 living with me,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
6578,male,34 y.o.,"La Habana, Cuba",single,Elier30,hispanic,Lic. Derecho,-,from 19 to 45,no children,Straight,Atheist,non-smoker,occasional drinker,"Fun, Friendship, Romance",CUBA
6698,male,41 y.o.,"La Habana, Cuba",single,robertrav2020,white,informatico,-,from 35 to 50,no children,Straight,Atheist,social smoker,social drinker,"Romance, Serious Relationship",CUBA
6786,male,47 y.o.,"Camag??ey, Cuba",single,tjulio,black,entrenador,-,from 30 to 43,no children,Straight,Other,non-smoker,occasional drinker,Marriage,CUBA
6789,male,44 y.o.,"La Habana, Cuba",single,Ale0126,hispanic,Artes Gr??ficas,-,from 19 to 38,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,CUBA
6864,female,33 y.o.,"Holgu??n, Cuba",single,Yudy1990,hispanic,Profesora,-,from 35 to 47,more than 2 living with me,Straight,Christian,social smoker,social drinker,Marriage,CUBA
6874,female,29 y.o.,"Santa Clara, Cuba",single,Eliane,white,M??dico,"Me encanta leer,la m??sica y cocinar",from 30 to 60,no children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",CUBA
6912,female,33 y.o.,"Camag??ey, Cuba",single,Yenilatina27,hispanic,-,"Soy una mujer honesta, responsable, sosial, alegre e inteligente.",from 30 to 35,no children,Straight,Other,non-smoker,social drinker,Marriage,CUBA
6913,male,46 y.o.,"Guant??namo, Cuba",separated,aadrian430,hispanic,Comercio,"Pudiera decir mil cosas..unas lindas , otras muy agradables...soy un ser humano lleno de imperfecciones y atributos..buscame
No quiero jugar..ni pasar el rato...busco la mitad de mi que se debe andar esperando por mi se??al..",from 39 to 86,no children,Homosexual,Spiritual,light smoker,occasional drinker,Serious Relationship,CUBA
6926,male,42 y.o.,"Holgu??n, Cuba",separated,yordanislealbarea,hispanic,profesor,-,from 30 to 45,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",CUBA
6931,male,51 y.o.,"Guant??namo, Cuba",separated,jchh,white,Analista de sistemas Informaticos,-,from 25 to 45,1-2 living elsewhere,Straight,Atheist,light smoker,occasional drinker,"Serious Relationship, Marriage",CUBA
6995,male,58 y.o.,"Holguin, Cuba",separated,diego89,white,Empresario,-,from 35 to 45,1-2 living elsewhere,Straight,Atheist,non-smoker,never,Serious Relationship,CUBA
7102,male,34 y.o.,Cuba,single,Ubern,hispanic,Chofer,-,from 19 to 40,no children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
7114,male,43 y.o.,"La Habana, Cuba",divorced,Charlie8101,white,Inform??tico,"Car??cter y cultura aceptables. Bastante directo, adem??s. Pregunte sin ninguna pena",from 19 to 86,want children,Straight,Spiritual,light smoker,social drinker,Serious Relationship,CUBA
7129,male,40 y.o.,"Pinar del R??o, Cuba",single,lazaro84,hispanic,fisioterapeuta,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CUBA
7178,male,32 y.o.,"Jaruco, Cuba",single,Y,mixed,Enfermero,Solo estoy buscando a la mujer de mi vida que comprta conmigo y que quiera ser feliz conmigo y que este dispuesta a darme hijo . Ademas que demuestre ser una buena amiga y compa;era en la vida,from 19 to 86,want children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",CURA??AO
7237,male,57 y.o.,"Havana, Cuba",single,alexdejesus66,black,Agente de seguridad privada privada,"Persona honesta de caracter alegre y educada. Me gusta la m??sica,bailar,comer fuera y hacer lindas amistades.",from 35 to 53,no children,Straight,Atheist,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",CURA??AO
7450,female,53 y.o.,"Havana, Cuba",divorced,Maria1971,white,Oficial Aduana,-,from 50 to 65,1-2 living with me,Straight,Atheist,light smoker,never,Serious Relationship,CURA??AO
7519,male,39 y.o.,"Guantanamo Bay Naval Base, Cuba",single,SAND,black,M??dico,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,CURA??AO
7587,male,45 y.o.,"La Habana, Cuba",single,flover05,hispanic,abogado,-,from 19 to 86,no children,Homosexual,Other,non-smoker,social drinker,Serious Relationship,CURA??AO
7608,male,35 y.o.,"La Habana, Cuba",single,Rey8810,white,Bartender,-,from 19 to 43,no children,Straight,Atheist,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",CURA??AO
7753,male,38 y.o.,"Mayabeque, Cuba",single,Pedry,hispanic,Gu??a tur??stico,"Rom??ntico, me gusta el buen cine, mel??mano pues sin m??sica muero, me gusta leer, hago deportes, soy buen amigo de mis amigos, sensible pero de car??cter fuerte,no me gusta la mentira, me gusta re??r y...",from 19 to 36,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,CURAZAO
7775,male,31 y.o.,"Varadero, Cuba",single,Darian,hispanic,Dise??ador gr??fico,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",CURAZAO
7780,male,47 y.o.,"Nueva Gerona, Cuba",single,lesterfelix,hispanic,ing Hidraulico,-,from 19 to 55,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",CURAZAO
7790,male,49 y.o.,"Santa Cruz del Sur, Cuba",single,alexir,black,-,"Soy una persona sencilla, detallista, me gusta la sinceridad, soy auto-critico, amante de las cosas bellas que la vida nos presenta a cada d??a",from 34 to 48,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",CURAZAO
7820,male,49 y.o.,"La Habana, Cuba",separated,cubano74,black,administrador,-,from 45 to 55,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Friendship, Serious Relationship",CURAZAO
7827,male,51 y.o.,"La Habana, Cuba",divorced,havanianmambi72,mixed,abogado,"ME GUSTA LA MUSICA, DANZA, LAS BELLAS ARTES. ME ENCANTAN LAS ACTIVIDADES EN LA NATURALEZA COMO HIKING Y EXCURSIONES.RESPETO Y TOLERANCIA SON ESENCIALES PARA MI.",from 34 to 39,no children,Straight,Spiritual,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
7867,female,33 y.o.,"La Habana, Cuba",single,Ismaray,hispanic,Licanciada,-,from 24 to 50,1-2 living with me,Straight,Other,non-smoker,occasional drinker,"Friendship, Serious Relationship",CYPRUS
7907,male,56 y.o.,"Las Tunas, Cuba",single,Ricard67,black,Inversionista,-,from 19 to 86,no children,Straight,Atheist,social smoker,social drinker,"Serious Relationship, Marriage",CYPRUS
